bank_ref,utr,credited_amount,value_date,narration,bank_charges
BANKREF_TXN_00045,UTR654782505,7856.66,2026-08-06,NEFT-HDFC0000123-UTR654782505-MERCH_001,0.00
KKBK0005678N24740534,,12555.13,2026-08-06,UPI-UTIB0000456-UTR604916937-MERCH_006,0.00
BANKREF_TXN_00004,UTR812857215,1010.73,2026-08-05,IMPS CR UTR812857215 MERCH_003 SETTLEMENT,0.00
BANKREF_TXN_00055,UTR988927745,40834.13,2026-08-15,UPI-HDFC0000123-UTR988927745-MERCH_004,0.00
ICIC0001234N93967175,,38595.66,2026-08-11,IMPS CR UTR106012093 MERCH_005 SETTLEMENT,0.00
BANKREF_TXN_00051,UTR289321853,46648.99,2026-08-12,IMPS/405575290606/UTR289321853/SETTLEMENT,0.00
BANKREF_TXN_00005,UTR502655738,39521.18,2026-08-06,IMPS-KKBK0005678-UTR502655738-MERCH_011,0.00
BANKREF_TXN_00017,UTR576836395,449.48,2026-08-18,NEFT/UTR576836395/MERCH_015/NET STLMNT,0.00
BANKREF_TXN_00009,UTR650317792,3181.22,2026-08-10,NEFT CR UTR650317792 MERCH_013 SETTLEMENT,0.00
BANKREF_TXN_00060,UTR447283283,612.13,2026-08-18,BY TRANSFER-NEFT*ICIC*UTR447283283*RAZORPAY-,0.00
BANKREF_TXN_00018,UTR384680619,5894.92,2026-08-19,UPI-ICIC0001234-UTR384680619-MERCH_012,0.00
BANKREF_TXN_00056,UTR727763735,713.90,2026-08-16,NEFT CR UTR727763735 MERCH_008 SETTLEMENT,0.00
BANKREF_TXN_00020,UTR181050023,9640.98,2026-08-22,IMPS/559735237504/UTR181050023/SETTLEMENT,0.00
BANKREF_TXN_00053,UTR549325370,80740.57,2026-08-14,UPI/UTR549325370/MERCH_005/NET STLMNT,0.00
BANKREF_TXN_00035,UTR789759261,591.44,2026-08-16,IMPS CR UTR789759261 MERCH_008 SETTLEMENT,0.00
BANKREF_TXN_00039,UTR627838752,92920.39,2026-08-20,BY TRANSFER-IMPS*ICIC*UTR627838752*RAZORPAY-,0.00
BANKREF_TXN_00006,UTR961032749,3191.76,2026-08-07,IMPS CR UTR961032749 MERCH_014 SETTLEMENT,0.00
BANKREF_TXN_00063,,8789.67,2026-08-29,IMPS/UTR595581190/MERCH_001/NET STLMNT,0.00
