invoice_id,txn_id,irn,gstin,invoice_amount,claimed_gst,claimed_tds,period
INV_TXN_00003,TXN_00003,000000000000000000000000000000000000000000000000000ee8d8d49937a4,29AAAAA0005A1Z5,295.00,45.00,0.00,2026-08
INV_TXN_00059,TXN_00059,000000000000000000000000000000000000000000000000000c8318a24be67a,29AAAAA0013A1Z5,75.52,11.52,0.00,2026-08
INV_TXN_00040,TXN_00040,0000000000000000000000000000000000000000000000000015a50005fbaeec,29AAAAA0001A1Z5,127.44,19.44,54.00,2026-08
INV_TXN_00047,TXN_00047,000000000000000000000000000000000000000000000000001077584e8bc447,29AAAAA0004A1Z5,21.00,3.20,0.00,2026-08
INV_TXN_00056,TXN_00056,000000000000000000000000000000000000000000000000000d5c674442854d,29AAAAA0013A1Z5,59.00,9.00,0.00,2026-08
INV_TXN_00042,TXN_00042,00000000000000000000000000000000000000000000000000056fee1cdd3e63,29AAAAA0002A1Z5,59.00,6.00,2.50,2026-08
INV_TXN_00008,TXN_00008,00000000000000000000000000000000000000000000000000195ba18779048b,29AAAAA0003A1Z5,127.44,19.44,5.40,2026-08
INV_TXN_00004,TXN_00004,0000000000000000000000000000000000000000000000000013adbc3a8c7b98,29AAAAA0003A1Z5,75.52,11.52,0.00,2026-08
INV_TXN_00055,TXN_00055,00000000000000000000000000000000000000000000000000162d87350593f6,29AAAAA0009A1Z5,295.00,45.00,0.00,2026-08
INV_TXN_00028,TXN_00028,0000000000000000000000000000000000000000000000000011ed1af36eb8f2,29AAAAA0005A1Z5,75.52,11.52,0.00,2026-08
INV_TXN_00051,TXN_00051,000000000000000000000000000000000000000000000000001414d3a63572f6,29AAAAA0005A1Z5,295.00,45.00,0.00,2026-08
INV_TXN_00030,TXN_00030,0000000000000000000000000000000000000000000000000016d4d0c134fbd0,29AAAAA0003A1Z5,23.60,3.60,1.00,2026-08
INV_TXN_00037,TXN_00037,00000000000000000000000000000000000000000000000000165f0ef8112d58,29AAAAA0009A1Z5,23.60,3.60,0.00,2026-08
INV_TXN_00062,TXN_00062,00000000000000000000000000000000000000000000000000101bc46027bf0c,29AAAAA0012A1Z5,23.60,3.60,0.00,2026-08
INV_TXN_00027,TXN_00027,000000000000000000000000000000000000000000000000001fb94103ce9999,29AAAAA0010A1Z5,23.60,3.60,0.00,2026-08
INV_TXN_00017,TXN_00017,0000000000000000000000000000000000000000000000000018c388699a454c,29AAAAA0006A1Z5,295.00,45.00,0.00,2026-08
INV_TXN_00020,TXN_00020,000000000000000000000000000000000000000000000000001fe71b23c4b69a,29AAAAA0009A1Z5,75.52,11.52,0.00,2026-08
INV_TXN_00039,TXN_00039,000000000000000000000000000000000000000000000000001299b2f6800cae,29AAAAA0002A1Z5,75.52,7.68,3.20,2026-08
INV_TXN_00021,TXN_00021,000000000000000000000000000000000000000000000000001cd8e2b5b38260,29AAAAA0014A1Z5,295.00,45.00,0.00,2026-08
INV_TXN_00031,TXN_00031,000000000000000000000000000000000000000000000000000da47a5e79cee7,29AAAAA0008A1Z5,59.00,9.00,0.00,2026-08
INV_TXN_00025,TXN_00025,00000000000000000000000000000000000000000000000000079072ef9b0431,29AAAAA0012A1Z5,59.00,9.00,0.00,2026-08
INV_TXN_00015,TXN_00015,00000000000000000000000000000000000000000000000000194574dbe7b9f3,29AAAAA0015A1Z5,59.00,9.00,0.00,2026-08
INV_TXN_00001,TXN_00001,0000000000000000000000000000000000000000000000000009bff8934ff110,29AAAAA0002A1Z5,75.52,11.52,0.00,2026-08
INV_TXN_00038,TXN_00038,000000000000000000000000000000000000000000000000001f5463abc7137b,29AAAAA0008A1Z5,21.00,3.20,0.00,2026-08
INV_TXN_00058,TXN_00058,0000000000000000000000000000000000000000000000000018b05c5f193147,29AAAAA0015A1Z5,75.52,11.52,0.00,2026-08
INV_TXN_00060,TXN_00060,000000000000000000000000000000000000000000000000001ebdc09d6deffd,29AAAAA0009A1Z5,127.44,19.44,0.00,2026-08
INV_TXN_00029,TXN_00029,00000000000000000000000000000000000000000000000000047df416d69a3f,29AAAAA0005A1Z5,75.52,11.52,0.00,2026-08
INV_TXN_00006,TXN_00006,0000000000000000000000000000000000000000000000000019a7cc9f590906,29AAAAA0006A1Z5,23.60,3.60,0.00,2026-08
INV_TXN_00018,TXN_00018,00000000000000000000000000000000000000000000000000201ce4cf00c667,29AAAAA0012A1Z5,23.60,3.60,0.00,2026-08
INV_TXN_00016,TXN_00016,00000000000000000000000000000000000000000000000000134a3f450ed922,29AAAAA0003A1Z5,23.60,3.60,1.00,2026-08
INV_TXN_00043,TXN_00043,0000000000000000000000000000000000000000000000000014f0033b56b191,29AAAAA0004A1Z5,59.00,9.00,25.00,2026-08
INV_TXN_00011,TXN_00011,000000000000000000000000000000000000000000000000001422e913cbd718,29AAAAA0013A1Z5,295.00,45.00,0.00,2026-08
INV_TXN_00036,TXN_00036,0000000000000000000000000000000000000000000000000018961025d9c8f1,29AAAAA0001A1Z5,23.60,3.60,1.00,2026-08
INV_TXN_00045,TXN_00045,0000000000000000000000000000000000000000000000000005e540d6acb801,29AAAAA0001A1Z5,75.52,11.52,32.00,2026-08
INV_TXN_00026,TXN_00026,000000000000000000000000000000000000000000000000001d20c901f3005c,29AAAAA0012A1Z5,75.52,11.52,0.00,2026-08
INV_TXN_00041,TXN_00041,00000000000000000000000000000000000000000000000000049df5d1593dc3,29AAAAA0010A1Z5,23.60,3.60,10.00,2026-08
INV_TXN_00035,TXN_00035,00000000000000000000000000000000000000000000000000089efe00a6f0a1,29AAAAA0003A1Z5,295.00,45.00,12.50,2026-08
INV_TXN_00013,TXN_00013,0000000000000000000000000000000000000000000000000003f6b1f7a87bb0,29AAAAA0001A1Z5,127.44,19.44,5.40,2026-08
INV_TXN_00019,TXN_00019,0000000000000000000000000000000000000000000000000014bd95cb365f5c,29AAAAA0002A1Z5,59.00,9.00,2.50,2026-08
INV_TXN_00014,TXN_00014,000000000000000000000000000000000000000000000000001d1f8aa364e246,29AAAAA0001A1Z5,23.60,3.60,1.00,2026-08
INV_TXN_00022,TXN_00022,00000000000000000000000000000000000000000000000000092ef6f95fe8e7,29AAAAA0002A1Z5,59.00,9.00,2.50,2026-08
INV_TXN_00024,TXN_00024,0000000000000000000000000000000000000000000000000017a73fd6b63ef6,29AAAAA0006A1Z5,23.60,3.60,0.00,2026-08
INV_TXN_00009,TXN_00009,000000000000000000000000000000000000000000000000001a40ca3d59d88c,29AAAAA0010A1Z5,59.00,9.00,0.00,2026-08
INV_TXN_00054,TXN_00054,0000000000000000000000000000000000000000000000000020f00de519d59f,29AAAAA0015A1Z5,295.00,45.00,0.00,2026-08
INV_TXN_00053,TXN_00053,000000000000000000000000000000000000000000000000000a71cd02bbd1bb,29AAAAA0004A1Z5,75.52,11.52,0.00,2026-08
INV_TXN_00063,TXN_00063,0000000000000000000000000000000000000000000000000011576e62146cd4,29AAAAA0008A1Z5,23.60,3.60,0.00,2026-08
INV_TXN_00057,TXN_00057,00000000000000000000000000000000000000000000000000102396128809f6,29AAAAA0009A1Z5,59.00,9.00,0.00,2026-08
INV_TXN_00005,TXN_00005,000000000000000000000000000000000000000000000000000e7b8f7b10bce0,29AAAAA0003A1Z5,59.00,9.00,2.50,2026-08
INV_TXN_00052,TXN_00052,0000000000000000000000000000000000000000000000000017c03a56648934,29AAAAA0012A1Z5,75.52,11.52,0.00,2026-08
INV_TXN_00023,TXN_00023,0000000000000000000000000000000000000000000000000010c6d89a94e011,29AAAAA0003A1Z5,59.00,9.00,2.50,2026-08
INV_TXN_00007,TXN_00007,00000000000000000000000000000000000000000000000000161dc06a1be63f,29AAAAA0003A1Z5,21.00,3.20,0.89,2026-08
INV_TXN_00032,TXN_00032,0000000000000000000000000000000000000000000000000008b085d558272b,29AAAAA0002A1Z5,295.00,45.00,12.50,2026-08
INV_TXN_00061,TXN_00061,0000000000000000000000000000000000000000000000000006b2ff58dffa6f,29AAAAA0012A1Z5,21.00,3.20,0.00,2026-08
INV_TXN_00034,TXN_00034,0000000000000000000000000000000000000000000000000006bd8be2902075,29AAAAA0009A1Z5,23.60,3.60,0.00,2026-08
INV_TXN_00033,TXN_00033,0000000000000000000000000000000000000000000000000008597da852930b,29AAAAA0003A1Z5,127.44,19.44,5.40,2026-08
INV_TXN_00044,TXN_00044,0000000000000000000000000000000000000000000000000015309293130dc6,29AAAAA0011A1Z5,21.00,3.20,8.90,2026-08
INV_TXN_00010,TXN_00010,000000000000000000000000000000000000000000000000001d36a7617f2084,29AAAAA0002A1Z5,23.60,3.60,0.00,2026-08
INV_TXN_00012,TXN_00012,00000000000000000000000000000000000000000000000000226edbcb3ec184,29AAAAA0015A1Z5,59.00,9.00,0.00,2026-08
INV_TXN_00002,TXN_00002,0000000000000000000000000000000000000000000000000011681c849063b1,29AAAAA0005A1Z5,295.00,45.00,0.00,2026-08
