settlement_id,txn_id,order_id,merchant_id,gross_amount,pg_fee,gst_on_fee,tds_withheld,net_payout,merchant_gstin,merchant_ytd_gross_opening,payment_method,utr,timestamp
SET_TXN_00050,TXN_00050,ORD_TXN_00050,MERCH_004,890.00,17.80,3.20,0.00,869.00,29AAAAA0004A1Z5,4280.00,NETBANKING,UTR555946517,2026-08-10T09:00:00+00:00
SET_TXN_00013,TXN_00013,ORD_TXN_00013,MERCH_001,5400.00,108.00,19.44,5.40,5267.16,29AAAAA0001A1Z5,495000.00,UPI,UTR467184137,2026-08-13T17:00:00+00:00
SET_TXN_00006,TXN_00006,ORD_TXN_00006,MERCH_006,1000.00,20.00,3.60,0.00,976.40,29AAAAA0006A1Z5,0.00,UPI,UTR464554432,2026-08-06T14:00:00+00:00
SET_TXN_00005,TXN_00005,ORD_TXN_00005,MERCH_003,2500.00,50.00,9.00,2.50,2438.50,29AAAAA0003A1Z5,498200.00,UPI,UTR871985091,2026-08-05T06:00:00+00:00
SET_TXN_00037,TXN_00037,ORD_TXN_00037,MERCH_009,1000.00,20.00,3.60,0.00,976.40,29AAAAA0009A1Z5,4200.00,NETBANKING,UTR262781261,2026-08-17T16:00:00+00:00
SET_TXN_00033,TXN_00033,ORD_TXN_00033,MERCH_003,5400.00,108.00,19.44,5.40,5267.16,29AAAAA0003A1Z5,511490.00,CARD,UTR457376073,2026-08-13T07:00:00+00:00
SET_TXN_00019,TXN_00019,ORD_TXN_00019,MERCH_002,2500.00,50.00,9.00,2.50,2438.50,29AAAAA0002A1Z5,499200.00,UPI,UTR275602993,2026-08-19T06:00:00+00:00
SET_TXN_00058,TXN_00058,ORD_TXN_00058,MERCH_010,890.00,17.80,3.20,0.00,869.00,29AAAAA0010A1Z5,4500.00,NETBANKING,UTR787643653,2026-08-16T20:00:00+00:00
SET_TXN_00007,TXN_00007,ORD_TXN_00007,MERCH_003,890.00,17.80,3.20,0.89,868.11,29AAAAA0003A1Z5,500700.00,NETBANKING,UTR107165407,2026-08-07T00:00:00+00:00
SET_TXN_00042,TXN_00042,ORD_TXN_00042,MERCH_002,2500.00,50.00,9.00,2.50,2438.50,29AAAAA0002A1Z5,519900.00,CARD,UTR203568473,2026-08-02T16:00:00+00:00
SET_TXN_00052,TXN_00052,ORD_TXN_00052,MERCH_012,3200.00,64.00,11.52,0.00,3124.48,29AAAAA0012A1Z5,6700.00,CARD,UTR125506754,2026-08-12T08:00:00+00:00
SET_TXN_00034,TXN_00034,ORD_TXN_00034,MERCH_009,1000.00,20.00,3.60,0.00,976.40,29AAAAA0009A1Z5,3200.00,CARD,UTR521054312,2026-08-14T10:00:00+00:00
SET_TXN_00035,TXN_00035,ORD_TXN_00035,MERCH_003,12500.00,250.00,45.00,12.50,12192.50,29AAAAA0003A1Z5,516890.00,NETBANKING,UTR378264943,2026-08-15T06:00:00+00:00
SET_TXN_00031,TXN_00031,ORD_TXN_00031,MERCH_008,2500.00,50.00,9.00,0.00,2441.00,29AAAAA0008A1Z5,0.00,UPI,UTR474875253,2026-08-11T08:00:00+00:00
SET_TXN_00048,TXN_00048,ORD_TXN_00048,MERCH_011,890.00,17.80,3.20,0.00,869.00,29AAAAA0011A1Z5,890.00,NETBANKING,UTR216443999,2026-08-08T16:00:00+00:00
SET_TXN_00004,TXN_00004,ORD_TXN_00004,MERCH_003,3200.00,64.00,11.52,0.00,3124.48,29AAAAA0003A1Z5,495000.00,NETBANKING,UTR670202811,2026-08-04T02:00:00+00:00
SET_TXN_00022,TXN_00022,ORD_TXN_00022,MERCH_002,2500.00,50.00,9.00,2.50,2438.50,29AAAAA0002A1Z5,501700.00,UPI,UTR297913261,2026-08-02T07:00:00+00:00
SET_TXN_00027,TXN_00027,ORD_TXN_00027,MERCH_010,1000.00,20.00,3.60,0.00,976.40,29AAAAA0010A1Z5,2500.00,UPI,UTR914784628,2026-08-07T20:00:00+00:00
SET_TXN_00043,TXN_00043,ORD_TXN_00043,MERCH_004,2500.00,50.00,9.00,0.00,2441.00,29AAAAA0004A1Z5,0.00,UPI,UTR900094518,2026-08-03T10:00:00+00:00
SET_TXN_00057,TXN_00057,ORD_TXN_00057,MERCH_009,2500.00,108.00,19.44,0.00,5272.56,29AAAAA0009A1Z5,7200.00,CARD,UTR325608584,2026-08-15T10:00:00+00:00
SET_TXN_00040,TXN_00040,ORD_TXN_00040,MERCH_001,5400.00,108.00,19.44,5.40,5267.16,29AAAAA0001A1Z5,502400.00,CARD,UTR518198728,2026-08-20T10:00:00+00:00
SET_TXN_00055,TXN_00055,ORD_TXN_00055,MERCH_009,12500.00,20.00,3.60,0.00,976.40,29AAAAA0009A1Z5,6200.00,NETBANKING,UTR262494774,2026-08-14T08:00:00+00:00
SET_TXN_00017,TXN_00017,ORD_TXN_00017,MERCH_006,12500.00,250.00,45.00,0.00,12205.00,29AAAAA0006A1Z5,1000.00,UPI,UTR690353756,2026-08-17T13:00:00+00:00
SET_TXN_00036,TXN_00036,ORD_TXN_00036,MERCH_001,1000.00,20.00,3.60,1.00,975.40,29AAAAA0001A1Z5,501400.00,UPI,UTR666511274,2026-08-16T03:00:00+00:00
